"(""[Parameter(Mandatory = $False, ParameterSetName='ObjectGuidLookup')]\n        [Guid]\n        $ObjectType"", 'Guid', 'ObjectType', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(Mandatory = $true, ValueFromPipelineByPropertyName = $true, ParameterSetName = 'CreateVariables')]\n        [switch]$CreateVariables"", 'switch', 'CreateVariables', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"(""[Parameter(ParameterSetName = 'API')]\n        [Switch]\n        $API"", 'Switch', 'API', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $RegLoggedOnUser', '', 'PSObject', 'RegLoggedOnUser', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                    $SDDLObject', '', 'PSObject', 'SDDLObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n                $LastLoggedOn', '', 'PSObject', 'LastLoggedOn', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n            $ComputerSite', '', 'PSObject', 'ComputerSite', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n            $IsAdmin', '', 'PSObject', 'IsAdmin', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n            $ManagedGroup', '', 'PSObject', 'ManagedGroup', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n            $Out', '', 'PSObject', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n        $Out', '', 'PSObject', 'Out', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n\n                $TicketHexStream', '', 'PSObject', 'TicketHexStream', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' PSObject\n\n                $TrustAttrib', '', 'PSObject', 'TrustAttrib', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' RDP\n            $TargetLocalSID', '', 'RDP', 'TargetLocalSID', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SID\n                            $MemberName', '', 'SID', 'MemberName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SID\n    $adPEAS_Dom', '', 'SID', 'adPEAS_Dom', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' SIDs\n        $ResolvedSIDs', '', 'SIDs', 'ResolvedSIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Stop\n                            $AttributeCollection', '', 'Stop', 'AttributeCollection', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.Specialized.OrderedDictionary\n        $UACValues', '', 'System.Collections.Specialized.OrderedDictionary', 'UACValues', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Collections.Stack\n\n    $DomainTrustArguments', '', 'System.Collections.Stack', 'DomainTrustArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.DirectoryServices.ActiveDirectoryAccessRule $Identity', '', 'System.DirectoryServices.ActiveDirectoryAccessRule', 'Identity', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.DirectoryServices.DirectorySearcher\n        $Searcher', '', 'System.DirectoryServices.DirectorySearcher', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.DirectoryServices.Protocols.SearchRequest\n            $PageRequestControl', '', 'System.DirectoryServices.Protocols.SearchRequest', 'PageRequestControl', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.DirectoryServices.Protocols.SearchRequest\n        $Request', '', 'System.DirectoryServices.Protocols.SearchRequest', 'Request', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Net.IPEndPoint $Address', '', 'System.Net.IPEndPoint', 'Address', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Security.Principal.SecurityIdentifier $Properties', '', 'System.Security.Principal.SecurityIdentifier', 'Properties', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.Threading.Mutex $False', '', 'System.Threading.Mutex', 'False', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' System.__ComObject\n                    $Temp', '', 'System.__ComObject', 'Temp', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' TargetComputers $TargetComputers', '', 'TargetComputers', 'TargetComputers', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Templates\n        $Templates', '', 'Templates', 'Templates', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' V2\n                    $LoggedOn', '', 'V2', 'LoggedOn', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' V2\n                    $Session', '', 'V2', 'Session', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' V2\n                    $Share', '', 'V2', 'Share', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' WNetAddConnection2W\n$NETRESOURCEW', '', 'WNetAddConnection2W', 'NETRESOURCEW', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' WTSEnumerateSessionsEx\n                $ppSessionInfo', '', 'WTSEnumerateSessionsEx', 'ppSessionInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Waiting $SleepSeconds', '', 'Waiting', 'SleepSeconds', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Win32\n\n$FunctionDefinitions', '', 'Win32', 'FunctionDefinitions', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Win32\n\n$ImageDosSignature', '', 'Win32', 'ImageDosSignature', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Win32\n\n$ImageSubsystem', '', 'Win32', 'ImageSubsystem', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' Workstations\n$DsEntry', '', 'Workstations', 'DsEntry', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' XML\n            $GroupsXMLcontent', '', 'XML', 'GroupsXMLcontent', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [Char]$Raw', '', 'Char', 'Raw', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [Runtime.InteropServices.DllImportAttribute]\n            $SetLastErrorField', '', 'Runtime.InteropServices.DllImportAttribute', 'SetLastErrorField', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [String] $Method', '', 'String', 'Method', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [String] $Property', '', 'String', 'Property', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [String]$SourceIP', '', 'String', 'SourceIP', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [System.DirectoryServices.ActiveDirectoryRights]$ADRight', '', 'System.DirectoryServices.ActiveDirectoryRights', 'ADRight', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [System.Security.AccessControl.AccessControlType] $AccessControlType', '', 'System.Security.AccessControl.AccessControlType', 'AccessControlType', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [System.Security.Principal.SecurityIdentifier]$OwnerSid', '', 'System.Security.Principal.SecurityIdentifier', 'OwnerSid', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [Type]\n\n    $EnumBuilder', '', 'Type', 'EnumBuilder', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [byte]$character', '', 'byte', 'character', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [char]$DNSRecord', '', 'char', 'DNSRecord', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$DomainCount', '', 'ref', 'DomainCount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$EntriesRead', '', 'ref', 'EntriesRead', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$LogonTokenHandle', '', 'ref', 'LogonTokenHandle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$PtrInfo', '', 'ref', 'PtrInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$ResumeHandle', '', 'ref', 'ResumeHandle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$SidString', '', 'ref', 'SidString', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$TotalRead', '', 'ref', 'TotalRead', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$newTime', '', 'ref', 'newTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$pBytesReturned', '', 'ref', 'pBytesReturned', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$pCount', '', 'ref', 'pCount', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$ppBuffer', '', 'ref', 'ppBuffer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$ppSessionInfo', '', 'ref', 'ppSessionInfo', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [ref]$tmp', '', 'ref', 'tmp', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' [xml]$XMLNode', '', 'xml', 'XMLNode', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' \n            return $false', '', 'return', 'false', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' \n        [Int]\n        $PageSize', '', 'Int', 'PageSize', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' _class\n                $Reg', '', '_class', 'Reg', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' accessing $Computer', '', 'accessing', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' added\n        $Check', '', 'added', 'Check', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' all\n            $TargetSIDs', '', 'all', 'TargetSIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' arguments\n            $AttributeRegex', '', 'arguments', 'AttributeRegex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' arguments\n            $OutArguments', '', 'arguments', 'OutArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' attributes\n$SchemaFlagsExEnum', '', 'attributes', 'SchemaFlagsExEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' attributes\n$SearchFlagsExEnum', '', 'attributes', 'SearchFlagsExEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' behavior\n                $TargetDC', '', 'behavior', 'TargetDC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' below\n$SID_NAME_USE', '', 'below', 'SID_NAME_USE', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' below\n$WTSConnectState', '', 'below', 'WTSConnectState', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' buffer\n                            $Null', '', 'buffer', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' buffer\n                    $Null', '', 'buffer', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' buffer\n                $Null', '', 'buffer', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' buffer\n            $Null', '', 'buffer', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' by $LOCALGROUP_MEMBERS_INFO_2', '', 'by', 'LOCALGROUP_MEMBERS_INFO_2', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' by $WTS_SESSION_INFO_1', '', 'by', 'WTS_SESSION_INFO_1', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' bytes\n            $SDDLString', '', 'bytes', 'SDDLString', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' character\n            $Byte', '', 'character', 'Byte', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' characters\n        $VbeData', '', 'characters', 'VbeData', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' computer\n                $SearcherArguments', '', 'computer', 'SearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' connections\n                        $ConnectionKeys', '', 'connections', 'ConnectionKeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' controllers\n            $Arguments', '', 'controllers', 'Arguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' controllers\n            $DCSearcherArguments', '', 'controllers', 'DCSearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' controllers\n        $adPEAS_ListDC', '', 'controllers', 'adPEAS_ListDC', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' converting $Domain', '', 'converting', 'Domain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' converting $MemberDN', '', 'converting', 'MemberDN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' credentials\n                $DomainObject', '', 'credentials', 'DomainObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' credentials\n                $Searcher', '', 'credentials', 'Searcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' data\n                $ObjectCSV', '', 'data', 'ObjectCSV', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' days\n            $LastAccessTime', '', 'days', 'LastAccessTime', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain\n                                $ObjectGroupMember', '', 'domain', 'ObjectGroupMember', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain\n                $DomainTrustArguments', '', 'domain', 'DomainTrustArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain\n                $MemberDomain', '', 'domain', 'MemberDomain', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain\n            $ObjectDomainDN', '', 'domain', 'ObjectDomainDN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain\n        $adPEAS_GPO', '', 'domain', 'adPEAS_GPO', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain\n        $adPEAS_OU', '', 'domain', 'adPEAS_OU', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' domain\n    $RootDomSearcherArguments', '', 'domain', 'RootDomSearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' element\n        $null', '', 'element', 'null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' enabled\n        $UserSearcher', '', 'enabled', 'UserSearcher', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' endian\n        $Null', '', 'endian', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' entry\n                $ObjectDirectoryEntry', '', 'entry', 'ObjectDirectoryEntry', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' exists\n            $Inf', '', 'exists', 'Inf', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' exists\n            $ParseArgs', '', 'exists', 'ParseArgs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' file\n        $Mutex', '', 'file', 'Mutex', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' filter\n        $Filter', '', 'filter', 'Filter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' find\n                        $Shares', '', 'find', 'Shares', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' find\n                    $Shares', '', 'find', 'Shares', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' first\n        $DomainPolicy', '', 'first', 'DomainPolicy', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' folders\n                $Continue', '', 'folders', 'Continue', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' for $Computer', '', 'for', 'Computer', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' for $ComputerName', '', 'for', 'ComputerName', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' forest\n            $ForestObject', '', 'forest', 'ForestObject', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' format\n                    $DN', '', 'format', 'DN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' from $UACEnum', '', 'from', 'UACEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' functionality\n        $Result', '', 'functionality', 'Result', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' gpLink\n                $DN', '', 'gpLink', 'DN', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' group\n                $Members', '', 'group', 'Members', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' group\n            $GroupSearcherArguments', '', 'group', 'GroupSearcherArguments', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' groups\n            $GroupFilter', '', 'groups', 'GroupFilter', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' groups\n$GroupTypeEnum', '', 'groups', 'GroupTypeEnum', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' handle\n                $Null', '', 'handle', 'Null', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' hashcat\n        $Tag23', '', 'hashcat', 'Tag23', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' here\n                        $dfs_targetlist_blob_size_start', '', 'here', 'dfs_targetlist_blob_size_start', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' highdatetime\n                        $state_timestamp_start', '', 'highdatetime', 'state_timestamp_start', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' hints\n                        $ServerKeys', '', 'hints', 'ServerKeys', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' hive\n                $UserSIDs', '', 'hive', 'UserSIDs', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' host\n            $Handle', '', 'host', 'Handle', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' hostname\n                            $RDPSession', '', 'hostname', 'RDPSession', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' hostname\n                        $Object_ca', '', 'hostname', 'Object_ca', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' identity $object_laps', '', 'identity', 'object_laps', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' ignore\n        $ExcludeGroups', '', 'ignore', 'ExcludeGroups', '', '', '', '', '', '', '', '')"
"('', '', '', '', '', '', ' in $ACEs', '', 'in', 'ACEs', '', '', '', '', '', '', '', '')"
